First Name,Last Name,Date of Birth,Person ID,Case Opened Date,Case Closed Date,Program,Program Date,Program Attendence
Tweety,Bird,1987-05-09,1000010,2019-05-09,2019-10-16,Individual Counseling,2019-10-02,Cancelled
Tweety,Bird,1987-05-09,1000010,2019-05-09,2019-10-16,Individual Counseling,2019-10-07,Cancelled
Tweety,Bird,1987-05-09,1000010,2019-05-09,2019-10-16,Group Class,2019-09-13,Y
Tweety,Bird,1987-05-09,1000010,2019-05-09,2019-10-16,Group Class,2019-09-21,Y
Tweety,Bird,1987-05-09,1000010,2019-05-09,2019-10-16,Group Class,2019-09-29,Y
Tweety,Bird,1987-05-09,1000010,2019-05-09,2019-10-16,Group Class,2019-10-15,Y
Tweety,Bird,1987-05-09,1000010,2019-05-09,2019-10-16,Group Class,2019-12-15,Cancelled
Tweety,Bird,1987-05-09,1000010,2019-05-09,2019-10-16,Group Class,2019-07-07,N
Buster,Bunny,1992-09-03,1000020,2019-01-20,2019-05-04,Group Class,2019-02-09,Y
Buster,Bunny,1992-09-03,1000020,2019-01-20,2019-05-04,Group Class,2019-02-17,Y
Buster,Bunny,1992-09-03,1000020,2019-01-20,2019-05-04,Group Class,2019-02-25,Y
Buster,Bunny,1992-09-03,1000020,2019-01-20,2019-05-04,Group Class,2019-03-05,Y
Buster,Bunny,1992-09-03,1000020,2019-01-20,2019-05-04,Group Class,2019-03-13,Y
Buster,Bunny,1992-09-03,1000020,2019-01-20,2019-05-04,Group Class,2019-03-14,N
Buster,Bunny,1992-09-03,1000020,2019-01-20,2019-05-04,Group Class,2019-03-21,Y
Buster,Bunny,1992-09-03,1000020,2019-01-20,2019-05-04,Group Class,2019-03-29,Y
Buster,Bunny,1992-09-03,1000020,2019-01-20,2019-05-04,Group Class,2019-04-06,Y
Buster,Bunny,1992-09-03,1000020,2019-01-20,2019-05-04,Group Class,2019-12-15,Cancelled
