First Name,Last Name,Date of Birth,Person ID,Case Opened Date,Case Closed Date
Tweety,Bird,09/05/1987,1000010,09/05/2019,16/10/2019
Buster,Bunny,03/09/1992,1000020,20/01/2019,04/05/2019
Sylvester,Cat,08/03/1998,1000030,01/04/2019,12/08/2019
Road,Runner,05/01/1990,1000040,05/03/2018,22/08/2018
Road,Runner,05/01/1990,1000040,05/07/2019,31/10/2019
Wiley,Coyote,05/03/2000,1000050,13/04/2019,30/07/2019
Fred,Flinstone,14/04/2001,1000060,01/10/2019,
Marvin,Martian,05/12/2023,1000070,15/05/2019,21/09/2019
Elmer,Fudd,29/07/1999,1000080,19/09/2018,
Roger,Rabbit,01/08/1995,1000090,14/03/2019,12/09/2019
Bugs,Bunny,16/06/1985,1000100,25/05/2109,12/09/2019
Daffy,Duck,22/04/1975,1000110,01/08/2018,
Spongebob,Squarepants,13/06/1991,1000120,05/01/2019,12/09/2019
Foghorn,Leghorn,15/08/1997,1000130,23/04/2019,01/10/2019
Tasmanian,Devil,25/11/2023,1000140,12/01/2019,15/07/2019
Penelope,Cat,19/03/1988,1000150,07/05/2019,
Yosemite,Sam,17/05/1993,1000160,19/01/2019,15/06/2019
Hector,Bulldog,19/10/1998,1000170,12/08/2018,11/09/2019
Charlie,Dog,15/11/2001,1000180,01/09/2019,01/11/2019
Petunia,Pig,14/12/2002,1000190,14/04/2019,05/08/2019
Cecil,Turtle,15/07/1965,1000200,01/07/2019,06/09/2019
Giovanni,Jones,04/08/1957,1000210,05/08/2018,01/02/2019
Ralph,Phillips,29/09/1999,1000220,12/05/2019,01/09/2019
